timestamp;url;total_vehiculos;Columna1;
2025-09-05T11:04:21;YAPO;48421;;
2025-09-05T11:04:27;LINK;3955;;
2025-09-05T11:05:01;YAPO;48421;;
2025-09-05T11:05:29;MACAL;56;;
2025-09-05T11:05:54;AUTOSUSADOS;7568;;
2025-09-05T11:06:49;AUTOPIA;88;;
2025-09-05T11:06:55;URL_BCI;3914;;
2025-09-05T11:07:18;KAVAK;816;;
2025-09-05T11:07:43;CLICAR;2710;;
2025-09-05T11:07:43;DILY;2160;;
2025-09-05T11:08:35;BRAVO;130;;
2025-09-05T11:08:56;AUTO;8160;;
2025-09-05T11:09:19;VENPU;574;;
2025-09-05T11:09:25;URL_MARKETPLACE;457;;
2025-09-05T11:09:29;URLLINZE;4342;;
2025-09-05T11:09:55;URL_CHILEMOTO;830;;
2025-09-05T11:10:56;URL_UDACH;1531;;
2025-09-05T11:25:13;AUTOCOSMO;16657;;
2025-09-05T11:27:29;AUTOCOSMO;16657;;
2025-09-05T12:40:36;LINK;3955;;
2025-09-05T12:51:02;LINK;3955;;
2025-09-05T14:25:13;LINK;3955;;
2025-09-05T14:26:02;YAPO;48411;;
2025-09-08T09:35:28;YAPO;48295;;
2025-09-08T09:35:36;LINK;3955;;
2025-09-08T09:36:03;LINK;3955;;
2025-09-08T09:37:35;YAPO;48295;;
2025-09-08T15:12:58;YAPO;48355;;
2025-09-08T15:13:07;LINK;3955;;
2025-09-08T15:13:38;YAPO;48355;;
2025-09-08T15:14:07;MACAL;52;;
2025-09-08T15:14:30;AUTOSUSADOS;7670;;
2025-09-08T15:15:35;AUTOPIA;105;;
2025-09-08T15:15:43;URL_BCI;3936;;
2025-09-08T15:16:01;KAVAK;838;;
2025-09-08T15:16:25;CLICAR;2704;;
2025-09-08T15:16:25;DILY;2130;;
2025-09-08T15:17:09;BRAVO;127;;
2025-09-08T15:17:52;BRAVO;127;;
2025-09-08T15:18:26;AUTO;8279;;
2025-09-08T15:19:14;VENPU;555;;
2025-09-08T15:19:18;URL_MARKETPLACE;459;;
2025-09-08T15:19:28;URLLINZE;4381;;
2025-09-08T15:19:56;URL_CHILEMOTO;830;;
2025-09-08T15:20:57;URL_UDACH;1536;;
2025-09-08T15:21:56;AUTOCOSMO;16664;;
2025-09-08T16:17:28.033875;MERCADOLIBRE;20494;;
2025-09-09T10:52:44;YAPO;48319;;
2025-09-09T11:12:50;YAPO;48323;;
2025-09-09T11:28:27;YAPO;48327;;
2025-09-09T11:30:09;YAPO;48322;;
2025-09-09T11:37:11;YAPO;48327;;
2025-09-09T11:39:43;YAPO;48329;;
2025-09-09T11:43:34;YAPO;48329;;
2025-09-09T11:53:01;YAPO;48323;;
2025-09-09T11:56:55;YAPO;48323;;
2025-09-09T12:02:37;YAPO;48324;;
2025-09-09T12:04:18;YAPO;48324;;
2025-09-09T12:06:24;YAPO;48327;;
2025-09-09T12:06:52;LINK;3955;;
2025-09-09T12:07:18;YAPO;48327;;
2025-09-09T12:07:44;MACAL;51;;
